customer_id,name,region,credit_limit,outstanding_amount,created_on
C-090,"Perkins, Ritter and Sandoval",North,65693.54,26481.09,2025-10-10 08:20:22
C-091,Smith PLC,West,25737.03,10050.2,2026-07-24 13:14:36
C-092,Mcgee-Stark,South,178725.91,40789.39,2024-09-21 19:09:39
C-093,Rubio LLC,East,153654.53,5322.49,2024-11-10 11:40:42
C-094,Dodson Ltd,West,182616.24,38691.83,2025-04-25 20:58:38
C-095,"Mercer, Black and Ramirez",East,192713.39,32769.88,2026-05-12 21:41:01
C-096,"Phillips, Chen and Turner",West,48967.71,20306.95,2024-08-30 18:54:26
C-097,Giles Group,West,48472.82,40880.52,2026-06-11 19:02:06
C-098,Stephens-Knapp,Central,12646.91,15151.32,2026-07-09 23:09:33
C-099,Jackson-Bell,Central,169133.02,42116.79,2025-12-24 20:04:39
C-100,Preston-Santiago,North,91153.42,2897.07,2024-11-06 03:21:27
