order_id,customer_id,material_id,qty,status,region,created_on
SO-0026,C-068,MAT-0256,91,Cancelled,South,2026-08-18 18:12:49
SO-0027,C-018,MAT-0391,64,Closed,East,2026-08-18 18:13:22
SO-0028,C-063,MAT-0355,57,Closed,West,2026-08-18 18:14:18
SO-0029,C-021,MAT-0479,59,Closed,Central,2026-08-18 18:13:33
SO-0030,C-036,MAT-0143,15,Cancelled,North,2026-08-18 18:13:33
SO-0031,C-029,MAT-0023,81,Cancelled,East,2026-08-18 18:11:57
SO-0032,C-066,MAT-0435,68,Cancelled,East,2026-08-18 18:12:19
SO-0033,C-087,MAT-0133,36,Open,South,2026-08-18 18:12:05
SO-0034,C-100,MAT-0101,14,Closed,South,2026-08-18 18:13:00
SO-0035,C-048,MAT-0332,51,Closed,North,2026-08-18 18:14:34
SO-0036,C-078,MAT-0435,47,Closed,South,2026-08-18 18:14:23
SO-0037,C-089,MAT-0491,26,Closed,Central,2026-08-18 18:13:38
SO-0038,C-086,MAT-0037,25,Open,North,2026-08-18 18:12:43
SO-0039,C-043,MAT-0471,25,Open,South,2026-08-18 18:12:04
SO-0040,C-044,MAT-0400,67,Cancelled,Central,2026-08-18 18:11:59
SO-0041,C-031,MAT-0388,27,Closed,North,2026-08-18 18:12:08
SO-0042,C-063,MAT-0118,51,Open,North,2026-08-18 18:14:34
SO-0043,C-040,MAT-0056,33,Open,West,2026-08-18 18:12:53
SO-0044,C-067,MAT-0349,35,Closed,North,2026-08-18 18:14:35
SO-0045,C-037,MAT-0464,77,Open,North,2026-08-18 18:12:43
SO-0046,C-086,MAT-0484,56,Cancelled,Central,2026-08-18 18:12:06
SO-0047,C-089,MAT-0214,40,Cancelled,South,2026-08-18 18:12:39
SO-0048,C-054,MAT-0355,97,Cancelled,West,2026-08-18 18:12:56
SO-0049,C-051,MAT-0013,40,Cancelled,South,2026-08-18 18:12:48
SO-0050,C-047,MAT-0358,82,Closed,East,2026-08-18 18:13:52
SO-0051,C-076,MAT-0392,59,Open,Central,2026-08-18 18:12:11
SO-0052,C-049,MAT-0325,56,Open,West,2026-08-18 18:13:05
SO-0053,C-030,MAT-0423,90,Cancelled,North,2026-08-18 18:13:05
SO-0054,C-072,MAT-0455,94,Open,East,2026-08-18 18:11:46
SO-0055,C-016,MAT-0488,88,Open,East,2026-08-18 18:13:57
SO-0056,C-075,MAT-0031,52,Closed,West,2026-08-18 18:13:08
SO-0057,C-014,MAT-0291,84,Cancelled,East,2026-08-18 18:12:21
SO-0058,C-008,MAT-0005,58,Open,South,2026-08-18 18:12:26
SO-0059,C-075,MAT-0263,92,Closed,North,2026-08-18 18:13:00
SO-0060,C-098,MAT-0253,56,Cancelled,Central,2026-08-18 18:13:28
SO-0061,C-090,MAT-0030,84,Cancelled,Central,2026-08-18 18:13:26
SO-0062,C-098,MAT-0145,57,Cancelled,North,2026-08-18 18:12:41
SO-0063,C-035,MAT-0193,57,Closed,North,2026-08-18 18:13:19
SO-0064,C-028,MAT-0097,9,Closed,North,2026-08-18 18:14:11
SO-0065,C-088,MAT-0210,59,Closed,South,2026-08-18 18:14:39
SO-0066,C-047,MAT-0436,10,Closed,East,2026-08-18 18:14:42
SO-0067,C-043,MAT-0363,3,Closed,North,2026-08-18 18:12:23
SO-0068,C-043,MAT-0380,33,Cancelled,East,2026-08-18 18:13:15
SO-0069,C-077,MAT-0482,63,Cancelled,North,2026-08-18 18:14:32
SO-0070,C-036,MAT-0420,34,Open,West,2026-08-18 18:11:49
SO-0071,C-075,MAT-0345,34,Cancelled,North,2026-08-18 18:11:58
SO-0072,C-086,MAT-0436,80,Open,East,2026-08-18 18:14:36
SO-0073,C-094,MAT-0303,17,Open,South,2026-08-18 18:12:39
SO-0074,C-078,MAT-0398,62,Cancelled,Central,2026-08-18 18:13:38
SO-0075,C-095,MAT-0111,68,Cancelled,East,2026-08-18 18:13:16
SO-0076,C-073,MAT-0487,73,Open,East,2026-08-18 18:14:01
SO-0077,C-072,MAT-0303,75,Closed,North,2026-08-18 18:11:57
SO-0078,C-069,MAT-0418,16,Closed,North,2026-08-18 18:12:14
SO-0079,C-040,MAT-0292,67,Closed,East,2026-08-18 18:12:08
SO-0080,C-026,MAT-0274,13,Closed,West,2026-08-18 18:12:08
SO-0081,C-011,MAT-0183,59,Open,North,2026-08-18 18:12:50
SO-0082,C-017,MAT-0235,53,Open,East,2026-08-18 18:12:29
SO-0083,C-033,MAT-0273,48,Cancelled,North,2026-08-18 18:12:01
SO-0084,C-098,MAT-0468,36,Open,South,2026-08-18 18:13:26
SO-0085,C-005,MAT-0434,83,Open,West,2026-08-18 18:12:08
SO-0086,C-092,MAT-0468,17,Closed,East,2026-08-18 18:12:16
SO-0087,C-060,MAT-0372,34,Cancelled,East,2026-08-18 18:13:36
SO-0088,C-061,MAT-0484,81,Cancelled,East,2026-08-18 18:14:02
SO-0089,C-056,MAT-0205,76,Cancelled,Central,2026-08-18 18:12:54
SO-0090,C-034,MAT-0480,65,Closed,South,2026-08-18 18:14:37
SO-0091,C-058,MAT-0376,97,Closed,North,2026-08-18 18:14:11
SO-0092,C-035,MAT-0326,34,Cancelled,South,2026-08-18 18:13:57
SO-0093,C-027,MAT-0160,2,Closed,Central,2026-08-18 18:12:25
SO-0094,C-096,MAT-0172,84,Cancelled,West,2026-08-18 18:14:22
SO-0095,C-035,MAT-0099,66,Cancelled,North,2026-08-18 18:14:25
SO-0096,C-056,MAT-0346,60,Cancelled,Central,2026-08-18 18:14:29
SO-0097,C-052,MAT-0378,75,Cancelled,West,2026-08-18 18:14:42
SO-0098,C-005,MAT-0160,33,Cancelled,West,2026-08-18 18:12:46
SO-0099,C-090,MAT-0061,23,Closed,West,2026-08-18 18:13:09
SO-0100,C-027,MAT-0214,30,Cancelled,South,2026-08-18 18:13:10
SO-0101,C-055,MAT-0134,77,Cancelled,East,2026-08-18 18:13:58
SO-0102,C-061,MAT-0214,98,Closed,South,2026-08-18 18:14:13
SO-0103,C-007,MAT-0032,4,Closed,North,2026-08-18 18:13:45
SO-0104,C-100,MAT-0200,94,Closed,West,2026-08-18 18:13:14
SO-0105,C-060,MAT-0390,90,Closed,North,2026-08-18 18:14:11
SO-0106,C-100,MAT-0497,30,Cancelled,East,2026-08-18 18:12:10
SO-0107,C-070,MAT-0186,32,Open,Central,2026-08-18 18:13:28
SO-0108,C-064,MAT-0145,79,Cancelled,South,2026-08-18 18:14:17
SO-0109,C-078,MAT-0422,26,Open,East,2026-08-18 18:12:43
SO-0110,C-100,MAT-0497,71,Open,South,2026-08-18 18:12:25
SO-0111,C-024,MAT-0387,72,Closed,West,2026-08-18 18:12:05
SO-0112,C-046,MAT-0324,43,Open,West,2026-08-18 18:12:47
SO-0113,C-047,MAT-0026,53,Closed,East,2026-08-18 18:11:57
SO-0114,C-099,MAT-0140,35,Open,North,2026-08-18 18:12:39
SO-0115,C-044,MAT-0147,38,Closed,South,2026-08-18 18:12:07
SO-0116,C-017,MAT-0202,40,Open,North,2026-08-18 18:12:52
SO-0117,C-056,MAT-0018,56,Cancelled,Central,2026-08-18 18:12:34
SO-0118,C-074,MAT-0065,5,Open,Central,2026-08-18 18:13:23
SO-0119,C-007,MAT-0175,19,Closed,North,2026-08-18 18:12:14
SO-0120,C-038,MAT-0288,2,Cancelled,North,2026-08-18 18:12:54
SO-0121,C-067,MAT-0062,67,Closed,West,2026-08-18 18:11:59
SO-0122,C-073,MAT-0443,60,Open,West,2026-08-18 18:12:21
SO-0123,C-064,MAT-0431,13,Cancelled,West,2026-08-18 18:13:38
SO-0124,C-059,MAT-0301,9,Open,Central,2026-08-18 18:13:45
SO-0125,C-045,MAT-0239,78,Open,South,2026-08-18 18:13:38
SO-0126,C-011,MAT-0025,43,Cancelled,South,2026-08-18 18:11:50
SO-0127,C-030,MAT-0348,21,Cancelled,East,2026-08-18 18:12:25
SO-0128,C-088,MAT-0329,11,Open,West,2026-08-18 18:12:55
SO-0129,C-039,MAT-0300,18,Cancelled,West,2026-08-18 18:12:14
SO-0130,C-080,MAT-0043,37,Closed,West,2026-08-18 18:14:39
SO-0131,C-052,MAT-0170,65,Closed,North,2026-08-18 18:13:05
SO-0132,C-086,MAT-0090,44,Closed,West,2026-08-18 18:14:00
SO-0133,C-050,MAT-0251,79,Cancelled,West,2026-08-18 18:12:09
SO-0134,C-084,MAT-0496,88,Closed,North,2026-08-18 18:13:25
SO-0135,C-081,MAT-0330,71,Cancelled,Central,2026-08-18 18:11:58
SO-0136,C-098,MAT-0111,46,Open,West,2026-08-18 18:14:26
SO-0137,C-034,MAT-0111,18,Open,North,2026-08-18 18:13:42
SO-0138,C-026,MAT-0095,30,Cancelled,West,2026-08-18 18:14:18
SO-0139,C-020,MAT-0416,48,Closed,South,2026-08-18 18:13:59
SO-0140,C-015,MAT-0306,31,Closed,South,2026-08-18 18:13:10
SO-0141,C-029,MAT-0361,88,Cancelled,South,2026-08-18 18:14:02
SO-0142,C-027,MAT-0154,53,Open,East,2026-08-18 18:12:46
SO-0143,C-021,MAT-0469,54,Closed,Central,2026-08-18 18:14:17
SO-0144,C-057,MAT-0171,14,Closed,South,2026-08-18 18:13:41
SO-0145,C-012,MAT-0463,58,Cancelled,South,2026-08-18 18:14:19
SO-0146,C-007,MAT-0323,17,Closed,East,2026-08-18 18:14:37
SO-0147,C-008,MAT-0193,22,Closed,Central,2026-08-18 18:14:40
SO-0148,C-034,MAT-0297,15,Open,East,2026-08-18 18:12:04
SO-0149,C-011,MAT-0086,81,Open,North,2026-08-18 18:11:49
SO-0150,C-019,MAT-0315,60,Cancelled,South,2026-08-18 18:13:26
SO-0151,C-060,MAT-0167,88,Open,Central,2026-08-18 18:13:29
SO-0152,C-014,MAT-0285,13,Cancelled,North,2026-08-18 18:13:03
SO-0153,C-007,MAT-0427,69,Closed,North,2026-08-18 18:12:05
SO-0154,C-030,MAT-0187,93,Open,Central,2026-08-18 18:12:15
SO-0155,C-065,MAT-0152,88,Closed,North,2026-08-18 18:13:06
SO-0156,C-004,MAT-0060,53,Cancelled,West,2026-08-18 18:13:32
SO-0157,C-051,MAT-0045,42,Closed,North,2026-08-18 18:13:45
SO-0158,C-057,MAT-0098,65,Cancelled,West,2026-08-18 18:14:21
SO-0159,C-074,MAT-0241,95,Open,North,2026-08-18 18:11:54
SO-0160,C-095,MAT-0221,23,Closed,North,2026-08-18 18:14:23
SO-0161,C-041,MAT-0420,60,Closed,Central,2026-08-18 18:12:04
SO-0162,C-082,MAT-0057,75,Open,East,2026-08-18 18:13:55
SO-0163,C-036,MAT-0222,93,Closed,North,2026-08-18 18:14:39
SO-0164,C-051,MAT-0421,79,Open,West,2026-08-18 18:13:05
SO-0165,C-062,MAT-0212,4,Closed,South,2026-08-18 18:14:28
SO-0166,C-096,MAT-0031,4,Closed,North,2026-08-18 18:11:48
SO-0167,C-033,MAT-0260,33,Closed,East,2026-08-18 18:13:50
SO-0168,C-066,MAT-0211,85,Closed,North,2026-08-18 18:13:49
SO-0169,C-100,MAT-0267,6,Cancelled,Central,2026-08-18 18:12:06
SO-0170,C-005,MAT-0491,55,Closed,North,2026-08-18 18:13:04
SO-0171,C-098,MAT-0287,3,Closed,West,2026-08-18 18:13:37
SO-0172,C-015,MAT-0237,45,Closed,North,2026-08-18 18:14:04
SO-0173,C-024,MAT-0077,15,Cancelled,East,2026-08-18 18:13:02
SO-0174,C-036,MAT-0429,100,Closed,East,2026-08-18 18:14:01
SO-0175,C-012,MAT-0147,66,Open,North,2026-08-18 18:14:32
SO-0176,C-052,MAT-0189,28,Closed,West,2026-08-18 18:13:20
SO-0177,C-009,MAT-0470,78,Cancelled,Central,2026-08-18 18:13:57
SO-0178,C-043,MAT-0121,6,Closed,South,2026-08-18 18:13:41
SO-0179,C-098,MAT-0408,100,Open,West,2026-08-18 18:12:08
SO-0180,C-066,MAT-0091,73,Open,North,2026-08-18 18:11:51
SO-0181,C-042,MAT-0314,59,Cancelled,West,2026-08-18 18:13:30
SO-0182,C-076,MAT-0170,63,Open,West,2026-08-18 18:14:30
SO-0183,C-016,MAT-0128,3,Cancelled,West,2026-08-18 18:13:04
SO-0184,C-048,MAT-0066,39,Closed,West,2026-08-18 18:12:17
SO-0185,C-087,MAT-0033,79,Open,Central,2026-08-18 18:12:37
SO-0186,C-096,MAT-0103,97,Open,South,2026-08-18 18:13:23
SO-0187,C-078,MAT-0461,81,Closed,East,2026-08-18 18:13:02
SO-0188,C-052,MAT-0178,11,Open,North,2026-08-18 18:14:12
SO-0189,C-019,MAT-0494,51,Cancelled,South,2026-08-18 18:13:30
SO-0190,C-082,MAT-0204,69,Open,West,2026-08-18 18:14:16
SO-0191,C-079,MAT-0141,8,Closed,West,2026-08-18 18:12:55
SO-0192,C-053,MAT-0420,15,Cancelled,South,2026-08-18 18:12:15
SO-0193,C-056,MAT-0236,94,Closed,Central,2026-08-18 18:13:38
SO-0194,C-022,MAT-0014,4,Open,East,2026-08-18 18:13:37
SO-0195,C-028,MAT-0423,51,Open,West,2026-08-18 18:14:13
SO-0196,C-037,MAT-0259,70,Open,Central,2026-08-18 18:12:39
SO-0197,C-006,MAT-0216,6,Cancelled,West,2026-08-18 18:13:45
SO-0198,C-049,MAT-0052,89,Closed,West,2026-08-18 18:13:42
SO-0199,C-006,MAT-0480,28,Closed,South,2026-08-18 18:13:49
SO-0200,C-014,MAT-0010,70,Closed,West,2026-08-18 18:13:58
SO-0201,C-071,MAT-0213,66,Cancelled,West,2026-08-18 18:12:03
SO-0202,C-074,MAT-0471,5,Closed,East,2026-08-18 18:12:01
SO-0203,C-007,MAT-0430,85,Closed,West,2026-08-18 18:12:15
SO-0204,C-012,MAT-0191,23,Open,West,2026-08-18 18:11:47
SO-0205,C-066,MAT-0381,90,Open,West,2026-08-18 18:11:58
SO-0206,C-089,MAT-0294,36,Cancelled,South,2026-08-18 18:13:43
SO-0207,C-030,MAT-0142,34,Closed,Central,2026-08-18 18:13:50
SO-0208,C-003,MAT-0141,37,Closed,North,2026-08-18 18:12:41
SO-0209,C-054,MAT-0486,73,Open,Central,2026-08-18 18:14:30
SO-0210,C-039,MAT-0318,76,Open,West,2026-08-18 18:13:00
SO-0211,C-006,MAT-0242,1,Closed,South,2026-08-18 18:12:08
SO-0212,C-028,MAT-0474,85,Cancelled,East,2026-08-18 18:13:05
SO-0213,C-086,MAT-0025,88,Cancelled,West,2026-08-18 18:12:13
SO-0214,C-089,MAT-0474,43,Closed,West,2026-08-18 18:12:41
SO-0215,C-070,MAT-0222,77,Cancelled,East,2026-08-18 18:12:38
SO-0216,C-053,MAT-0344,68,Open,North,2026-08-18 18:12:22
SO-0217,C-049,MAT-0415,20,Closed,South,2026-08-18 18:12:55
SO-0218,C-041,MAT-0065,98,Closed,East,2026-08-18 18:12:38
SO-0219,C-096,MAT-0448,68,Cancelled,North,2026-08-18 18:14:01
SO-0220,C-039,MAT-0208,71,Closed,West,2026-08-18 18:11:56
SO-0221,C-098,MAT-0286,72,Open,South,2026-08-18 18:14:12
SO-0222,C-087,MAT-0474,41,Open,West,2026-08-18 18:14:06
SO-0223,C-075,MAT-0010,65,Open,South,2026-08-18 18:13:41
SO-0224,C-096,MAT-0147,83,Open,West,2026-08-18 18:11:57
SO-0225,C-030,MAT-0041,66,Cancelled,West,2026-08-18 18:12:16
SO-0226,C-098,MAT-0469,52,Open,West,2026-08-18 18:12:14
SO-0227,C-039,MAT-0446,57,Closed,North,2026-08-18 18:14:40
SO-0228,C-099,MAT-0220,61,Open,West,2026-08-18 18:12:43
SO-0229,C-024,MAT-0250,68,Closed,East,2026-08-18 18:14:34
SO-0230,C-018,MAT-0375,49,Closed,East,2026-08-18 18:12:41
SO-0231,C-070,MAT-0013,16,Closed,East,2026-08-18 18:12:06
SO-0232,C-094,MAT-0341,97,Open,West,2026-08-18 18:14:34
SO-0233,C-013,MAT-0293,56,Closed,East,2026-08-18 18:14:17
SO-0234,C-072,MAT-0106,42,Open,East,2026-08-18 18:11:52
SO-0235,C-032,MAT-0479,34,Closed,Central,2026-08-18 18:13:26
SO-0236,C-067,MAT-0276,37,Open,North,2026-08-18 18:12:03
SO-0237,C-055,MAT-0330,81,Closed,East,2026-08-18 18:13:19
SO-0238,C-011,MAT-0305,80,Cancelled,South,2026-08-18 18:14:41
SO-0239,C-005,MAT-0472,9,Open,East,2026-08-18 18:14:04
SO-0240,C-093,MAT-0150,97,Cancelled,North,2026-08-18 18:12:25
SO-0241,C-066,MAT-0200,66,Closed,East,2026-08-18 18:14:30
SO-0242,C-048,MAT-0056,70,Cancelled,North,2026-08-18 18:12:48
SO-0243,C-021,MAT-0096,100,Cancelled,West,2026-08-18 18:13:28
SO-0244,C-088,MAT-0327,55,Open,North,2026-08-18 18:14:42
SO-0245,C-062,MAT-0298,44,Closed,South,2026-08-18 18:12:56
SO-0246,C-084,MAT-0133,78,Open,West,2026-08-18 18:14:34
SO-0247,C-014,MAT-0129,87,Cancelled,East,2026-08-18 18:13:20
SO-0248,C-006,MAT-0123,36,Open,West,2026-08-18 18:12:33
SO-0249,C-055,MAT-0276,90,Closed,North,2026-08-18 18:13:37
SO-0250,C-031,MAT-0380,48,Closed,South,2026-08-18 18:13:47
SO-0251,C-041,MAT-0256,47,Closed,South,2026-08-18 18:13:40
SO-0252,C-094,MAT-0382,52,Closed,North,2026-08-18 18:14:26
SO-0253,C-013,MAT-0369,54,Closed,Central,2026-08-18 18:12:53
SO-0254,C-054,MAT-0308,95,Closed,Central,2026-08-18 18:13:06
SO-0255,C-032,MAT-0096,82,Open,North,2026-08-18 18:12:45
SO-0256,C-036,MAT-0365,60,Open,North,2026-08-18 18:13:16
SO-0257,C-072,MAT-0336,42,Closed,Central,2026-08-18 18:13:07
SO-0258,C-019,MAT-0288,76,Cancelled,East,2026-08-18 18:14:11
SO-0259,C-011,MAT-0400,60,Open,East,2026-08-18 18:14:09
SO-0260,C-084,MAT-0308,20,Cancelled,West,2026-08-18 18:14:34
SO-0261,C-004,MAT-0224,68,Closed,West,2026-08-18 18:12:46
SO-0262,C-028,MAT-0091,36,Cancelled,South,2026-08-18 18:13:59
SO-0263,C-047,MAT-0288,47,Cancelled,South,2026-08-18 18:14:00
SO-0264,C-013,MAT-0022,78,Closed,East,2026-08-18 18:14:38
SO-0265,C-006,MAT-0326,72,Cancelled,South,2026-08-18 18:13:44
SO-0266,C-053,MAT-0393,36,Closed,South,2026-08-18 18:13:29
SO-0267,C-052,MAT-0204,81,Cancelled,West,2026-08-18 18:12:43
SO-0268,C-076,MAT-0087,52,Open,North,2026-08-18 18:13:49
SO-0269,C-097,MAT-0472,79,Closed,Central,2026-08-18 18:13:53
SO-0270,C-037,MAT-0009,79,Open,Central,2026-08-18 18:12:40
SO-0271,C-084,MAT-0008,37,Cancelled,South,2026-08-18 18:14:45
SO-0272,C-065,MAT-0278,95,Open,East,2026-08-18 18:12:36
SO-0273,C-071,MAT-0423,60,Open,Central,2026-08-18 18:14:38
SO-0274,C-038,MAT-0328,85,Open,South,2026-08-18 18:13:49
SO-0275,C-026,MAT-0131,58,Open,North,2026-08-18 18:14:25
SO-0276,C-090,MAT-0189,70,Open,Central,2026-08-18 18:13:35
SO-0277,C-079,MAT-0417,91,Closed,East,2026-08-18 18:13:29
SO-0278,C-003,MAT-0194,37,Closed,Central,2026-08-18 18:13:38
SO-0279,C-090,MAT-0073,33,Cancelled,Central,2026-08-18 18:12:34
SO-0280,C-039,MAT-0233,15,Cancelled,South,2026-08-18 18:13:00
SO-0281,C-063,MAT-0256,70,Cancelled,South,2026-08-18 18:14:18
SO-0282,C-050,MAT-0166,85,Closed,South,2026-08-18 18:12:36
SO-0283,C-003,MAT-0229,47,Cancelled,Central,2026-08-18 18:13:20
SO-0284,C-004,MAT-0462,19,Open,Central,2026-08-18 18:13:41
SO-0285,C-077,MAT-0437,42,Cancelled,South,2026-08-18 18:13:02
SO-0286,C-015,MAT-0194,73,Open,South,2026-08-18 18:12:24
SO-0287,C-080,MAT-0481,74,Open,West,2026-08-18 18:14:11
SO-0288,C-042,MAT-0052,20,Closed,West,2026-08-18 18:13:37
SO-0289,C-059,MAT-0124,79,Open,South,2026-08-18 18:13:51
SO-0290,C-098,MAT-0376,47,Open,North,2026-08-18 18:11:48
SO-0291,C-055,MAT-0334,80,Open,Central,2026-08-18 18:14:41
SO-0292,C-026,MAT-0080,87,Open,West,2026-08-18 18:13:45
SO-0293,C-072,MAT-0165,21,Open,North,2026-08-18 18:12:42
SO-0294,C-037,MAT-0413,3,Open,Central,2026-08-18 18:13:47
SO-0295,C-027,MAT-0101,37,Open,South,2026-08-18 18:11:47
SO-0296,C-067,MAT-0294,79,Cancelled,North,2026-08-18 18:14:46
SO-0297,C-027,MAT-0152,95,Closed,North,2026-08-18 18:12:17
SO-0298,C-087,MAT-0196,86,Closed,North,2026-08-18 18:14:04
SO-0299,C-016,MAT-0138,77,Cancelled,Central,2026-08-18 18:11:46
SO-0300,C-018,MAT-0001,71,Cancelled,West,2026-08-18 18:14:20
SO-0301,C-041,MAT-0432,20,Cancelled,West,2026-08-18 18:12:15
SO-0302,C-083,MAT-0246,31,Cancelled,South,2026-08-18 18:11:48
SO-0303,C-085,MAT-0213,52,Closed,East,2026-08-18 18:12:41
SO-0304,C-062,MAT-0500,16,Open,West,2026-08-18 18:13:38
SO-0305,C-047,MAT-0198,64,Cancelled,South,2026-08-18 18:12:34
SO-0306,C-061,MAT-0390,65,Open,Central,2026-08-18 18:12:09
SO-0307,C-029,MAT-0105,83,Closed,Central,2026-08-18 18:12:28
SO-0308,C-044,MAT-0002,48,Cancelled,East,2026-08-18 18:14:42
SO-0309,C-068,MAT-0028,71,Cancelled,East,2026-08-18 18:13:59
SO-0310,C-058,MAT-0014,63,Cancelled,East,2026-08-18 18:12:04
SO-0311,C-014,MAT-0274,75,Closed,West,2026-08-18 18:12:38
SO-0312,C-070,MAT-0020,67,Closed,North,2026-08-18 18:14:39
SO-0313,C-094,MAT-0335,89,Cancelled,South,2026-08-18 18:12:06
SO-0314,C-084,MAT-0147,19,Cancelled,West,2026-08-18 18:14:15
SO-0315,C-090,MAT-0350,31,Closed,West,2026-08-18 18:13:11
SO-0316,C-049,MAT-0492,48,Open,Central,2026-08-18 18:14:16
SO-0317,C-093,MAT-0455,4,Closed,West,2026-08-18 18:11:52
SO-0318,C-076,MAT-0479,8,Cancelled,South,2026-08-18 18:12:28
SO-0319,C-076,MAT-0135,33,Open,East,2026-08-18 18:12:01
SO-0320,C-099,MAT-0386,21,Closed,West,2026-08-18 18:12:50
SO-0321,C-055,MAT-0370,16,Closed,East,2026-08-18 18:14:15
SO-0322,C-036,MAT-0493,30,Closed,West,2026-08-18 18:12:49
SO-0323,C-038,MAT-0340,98,Cancelled,East,2026-08-18 18:13:45
SO-0324,C-019,MAT-0169,83,Open,Central,2026-08-18 18:13:17
SO-0325,C-087,MAT-0101,25,Closed,West,2026-08-18 18:12:17
SO-0326,C-050,MAT-0365,6,Cancelled,North,2026-08-18 18:12:05
SO-0327,C-097,MAT-0005,62,Cancelled,West,2026-08-18 18:13:35
SO-0328,C-069,MAT-0449,59,Closed,East,2026-08-18 18:12:12
SO-0329,C-039,MAT-0113,8,Cancelled,South,2026-08-18 18:13:40
SO-0330,C-093,MAT-0228,33,Closed,South,2026-08-18 18:14:40
SO-0331,C-007,MAT-0224,17,Closed,Central,2026-08-18 18:12:30
SO-0332,C-045,MAT-0281,9,Cancelled,East,2026-08-18 18:13:14
SO-0333,C-019,MAT-0138,59,Closed,South,2026-08-18 18:13:25
SO-0334,C-025,MAT-0380,57,Closed,South,2026-08-18 18:11:54
SO-0335,C-021,MAT-0483,11,Cancelled,West,2026-08-18 18:12:58
SO-0336,C-003,MAT-0478,48,Closed,South,2026-08-18 18:14:10
SO-0337,C-004,MAT-0031,94,Cancelled,North,2026-08-18 18:14:12
SO-0338,C-034,MAT-0430,66,Closed,Central,2026-08-18 18:14:39
SO-0339,C-004,MAT-0302,38,Open,Central,2026-08-18 18:12:38
SO-0340,C-080,MAT-0152,60,Open,East,2026-08-18 18:13:48
SO-0341,C-012,MAT-0356,80,Open,North,2026-08-18 18:13:13
SO-0342,C-003,MAT-0129,43,Open,East,2026-08-18 18:13:09
SO-0343,C-094,MAT-0151,75,Cancelled,North,2026-08-18 18:12:17
SO-0344,C-069,MAT-0461,62,Closed,North,2026-08-18 18:12:58
SO-0345,C-025,MAT-0025,87,Open,Central,2026-08-18 18:14:11
SO-0346,C-032,MAT-0476,46,Closed,East,2026-08-18 18:13:21
SO-0347,C-077,MAT-0337,29,Open,East,2026-08-18 18:12:19
SO-0348,C-033,MAT-0464,11,Closed,East,2026-08-18 18:13:49
SO-0349,C-012,MAT-0223,69,Open,South,2026-08-18 18:11:56
SO-0350,C-078,MAT-0260,48,Open,West,2026-08-18 18:14:36
SO-0351,C-055,MAT-0320,50,Cancelled,West,2026-08-18 18:12:20
SO-0352,C-015,MAT-0166,22,Closed,Central,2026-08-18 18:14:24
SO-0353,C-093,MAT-0177,63,Open,West,2026-08-18 18:14:01
SO-0354,C-081,MAT-0237,96,Open,East,2026-08-18 18:12:26
SO-0355,C-048,MAT-0272,99,Closed,Central,2026-08-18 18:13:36
SO-0356,C-041,MAT-0416,41,Open,South,2026-08-18 18:14:28
SO-0357,C-011,MAT-0009,62,Closed,East,2026-08-18 18:13:11
SO-0358,C-034,MAT-0070,11,Closed,West,2026-08-18 18:12:54
SO-0359,C-083,MAT-0354,63,Closed,South,2026-08-18 18:13:02
SO-0360,C-014,MAT-0027,55,Cancelled,Central,2026-08-18 18:12:36
SO-0361,C-019,MAT-0327,50,Open,West,2026-08-18 18:14:29
SO-0362,C-092,MAT-0500,59,Cancelled,East,2026-08-18 18:13:10
